0.00	-0.148	0.004	-10.82	0.16	-28.39	0.16	-10.29	-10.29	1	1	0	0
0.01	-0.148	0.004	-4.86	-1.41	-12.70	-1.41	-7.94	-10.29	1	1	0	0
0.02	-0.148	-0.012	-4.55	-4.55	-11.76	-7.69	-1.12	-10.29	1	1	0	0
0.03	-0.148	-0.043	-2.98	-4.55	-8.00	-8.94	1.71	-1.35	1	1	0	0
0.04	-0.148	-0.082	-1.73	-3.61	-4.23	-10.51	3.23	9.58	1	1	0	0
0.05	-0.148	-0.129	-0.16	-3.61	-0.78	-6.74	6.29	9.47	1	1	0	0
0.06	-0.148	-0.184	0.78	-1.41	2.67	-0.16	4.76	4.06	1	1	0	0
0.07	-0.148	-0.184	-0.47	-0.47	-1.73	0.16	-0.29	-7.00	1	1	0	0
0.08	-0.148	-0.184	-0.78	-0.16	-2.35	0.16	-1.59	-7.59	1	1	0	0
0.09	-0.148	-0.169	-2.04	-0.16	-2.04	-2.67	-4.29	-1.59	0	1	0	0
0.10	-0.148	-0.161	-2.04	-1.41	-2.04	-3.29	-2.06	-0.06	0	1	0	0
0.11	-0.148	-0.176	-0.16	-1.73	-0.16	-1.10	2.76	-0.53	0	1	0	0
0.12	-0.148	-0.192	0.16	-1.41	0.16	-1.10	2.76	0.18	0	1	0	0
0.13	-0.148	-0.200	0.16	-0.47	0.47	-1.10	1.71	1.59	1	1	0	0
0.14	-0.148	-0.208	0.16	-0.16	0.47	-0.16	1.00	0.18	1	1	0	0
0.15	-0.148	-0.208	0.16	-0.47	0.16	0.16	1.59	-1.00	1	1	0	0
0.16	-0.148	-0.208	0.16	0.16	0.47	-0.47	0.18	0.76	1	1	0	0
0.17	-0.148	-0.208	0.16	0.16	0.47	-0.47	0.18	0.65	1	1	0	0
0.18	-0.148	-0.200	0.16	0.16	0.47	0.16	0.18	-0.76	1	1	0	0
0.19	-0.148	-0.200	0.16	0.16	0.47	0.16	0.29	-0.53	1	1	0	0
0.20	-0.148	-0.200	0.16	0.16	0.47	0.16	0.29	-0.29	1	1	0	0
0.21	-0.148	-0.200	0.16	0.16	0.47	0.16	0.29	-0.53	1	1	0	0
0.22	-0.148	-0.192	0.16	0.16	0.16	0.16	0.18	-0.65	1	1	0	0
0.23	-0.148	-0.192	0.16	0.16	0.47	0.16	0.29	-0.53	1	1	0	0
0.24	-0.148	-0.192	0.16	0.16	0.47	0.16	0.53	0.06	1	1	0	0
0.25	-0.148	-0.192	0.16	0.16	0.78	0.16	0.65	0.41	1	1	0	0
0.26	-0.148	-0.192	0.16	0.16	0.78	0.16	0.76	0.65	1	1	0	0
0.27	-0.148	-0.192	0.47	0.16	1.10	0.16	1.00	1.23	1	1	0	0
0.28	-0.148	-0.192	0.47	0.16	1.10	0.16	1.12	1.47	1	1	0	0
0.29	-0.148	-0.192	0.47	0.16	1.41	0.16	1.23	1.94	1	1	0	0
0.30	-0.148	-0.192	0.47	0.16	1.41	0.16	1.47	2.41	1	1	0	0
0.31	-0.148	-0.192	0.47	0.16	1.73	0.16	1.59	2.06	1	1	0	0
0.32	-0.148	-0.192	0.47	0.16	1.73	0.16	1.71	2.41	1	1	0	0
0.33	-0.148	-0.192	0.47	0.16	1.73	0.16	1.82	3.47	1	1	0	0
0.34	-0.148	-0.192	0.78	0.16	2.04	0.16	2.06	3.23	1	1	0	0
0.35	-0.148	-0.192	0.78	0.16	2.04	0.16	2.29	3.59	1	1	0	0
0.36	-0.148	-0.192	0.78	0.16	2.35	0.16	2.53	4.41	1	1	0	0
0.37	-0.148	-0.192	0.78	0.16	2.67	1.10	2.76	3.12	1	1	0	0
0.38	-0.148	-0.184	0.78	0.16	2.04	1.10	2.29	2.18	1	1	0	0
0.39	-0.148	-0.184	0.78	0.47	2.04	1.10	0.88	2.41	1	1	0	0
0.40	-0.148	-0.184	0.78	0.16	2.35	0.47	2.88	4.17	1	1	0	0
